Stage Leaf,Plastochron,[JA],[meJA],[GA]
L1,P4 ,0.577 ± 0.20,1.109 ± 0.46,0.440 ± 0.035
,P5 ,0.790 ± 0.28 , 1.052 ± 0.32 ,0.525 ± 0.33
,P6 ,2.873 ± 0.86, 1.764 ± 0.35, 0.702 ± 0.075
,P7,2.652 ± 0.23 , 3.138 ± 0.83,0.450 ± 0.010
,P7.5,10.614 ± 1.91, 3.988 ± 1.25, 0.409 ± 0.14
,P8 tip,33.895 ± 4.68,.098 ± 1.40,0.412 ± 0.15
,P9 tip,8.833 ± 2.08, 41.904 ± 6.91, 0.574 ± 0.097
,P9 mid,10.500 ± 3.03,24.907 ± 1.62, 0.412 ± 0.15
,P9 base,4.356 ± 1.02,1.110 ± 0.37,0.409 ± 0.14
L6,P8 tip,4.388 ± 1.30,2.850 ± 1.85,14.338 ± 5.58
L7,P9 tip ,3.570 ± 1.61,5.593 ± 1.75,0.287 ± .27
,P9 mid,2.652 ± 1.30, 2.250 ± 1.14, 5.593 ± 3.27
,P9 base,0.348 ± 0.13, 0.449 ± 0.13,7.453 ± 4.30
L8,P10 tip,1.252 ± 0.46,2.136 ± 1.23,10.426 ± 6.49
